dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,status,grid_search_time,rf_max_depth,rf_max_features,rf_min_samples_leaf,rf_min_samples_split,rf_n_estimators
datasets/BPI_Challenge_2017.xes,prefix,100,OHE,0.416666667,0.37745098,117,24,Success,12.86443448,20,sqrt,1,2,100
datasets/BPI_Challenge_2017.xes,prefix,100,Bigram,0.416666667,0.406517094,117,24,Success,4.234251976,10,sqrt,1,2,100
datasets/BPI_Challenge_2017.xes,prefix,100,W2V,0.791666667,0.783119658,117,24,Success,4.362373352,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,prefix,100,D2V,0.375,0.373290598,117,24,Success,4.498917103,10,sqrt,1,5,200
datasets/BPI_Challenge_2017.xes,prefix,100,BERT,0.708333333,0.688247863,117,24,Success,4.510658741,10,log2,1,5,100
datasets/BPI_Challenge_2017.xes,prefix,100,ACF,0.291666667,0.317628205,117,24,Success,7.370404959,20,log2,1,5,100
datasets/BPI_Challenge_2017.xes,prefix,150,OHE,0.428571429,0.346560847,116,22,Success,4.752534628,,log2,1,2,100
datasets/BPI_Challenge_2017.xes,prefix,150,Bigram,0.285714286,0.254648526,116,22,Success,4.445144892,10,log2,1,5,100
datasets/BPI_Challenge_2017.xes,prefix,150,W2V,0.904761905,0.886772487,116,22,Success,4.280998945,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,prefix,150,D2V,0.272727273,0.235930736,116,22,Success,4.510466099,10,sqrt,1,5,200
datasets/BPI_Challenge_2017.xes,prefix,150,BERT,0.761904762,0.763924964,116,22,Success,4.485153913,10,sqrt,2,2,100
datasets/BPI_Challenge_2017.xes,prefix,150,ACF,0.19047619,0.17414966,116,22,Success,7.034049511,10,log2,1,2,100
datasets/BPI_Challenge_2017.xes,prefix,200,OHE,0.476190476,0.365192744,116,22,Success,5.185512066,20,sqrt,2,2,100
datasets/BPI_Challenge_2017.xes,prefix,200,Bigram,0.380952381,0.275132275,116,22,Success,4.808937311,10,log2,2,5,200
datasets/BPI_Challenge_2017.xes,prefix,200,W2V,0.666666667,0.63762428,116,22,Success,4.723107576,10,log2,2,2,200
datasets/BPI_Challenge_2017.xes,prefix,200,D2V,0.409090909,0.298307753,116,22,Success,5.072749376,20,sqrt,1,5,200
datasets/BPI_Challenge_2017.xes,prefix,200,BERT,0.523809524,0.503401361,116,22,Success,5.073952913,10,sqrt,2,5,100
datasets/BPI_Challenge_2017.xes,prefix,200,ACF,0.428571429,0.354497354,116,22,Success,7.670078754,10,log2,1,5,100
datasets/BPI_Challenge_2017.xes,prefix,400,OHE,0.318181818,0.224675325,113,22,Success,5.13859725,,log2,1,2,100
datasets/BPI_Challenge_2017.xes,prefix,400,Bigram,0.272727273,0.190584416,113,22,Success,4.390590191,10,sqrt,2,5,200
datasets/BPI_Challenge_2017.xes,prefix,400,W2V,0.818181818,0.789944904,113,22,Success,4.359148979,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,prefix,400,D2V,0.409090909,0.343323343,113,22,Success,4.533258915,10,sqrt,2,5,200
datasets/BPI_Challenge_2017.xes,prefix,400,BERT,0.545454545,0.484848485,113,22,Success,4.66095686,10,log2,1,5,200
datasets/BPI_Challenge_2017.xes,prefix,400,ACF,0.454545455,0.371212121,113,22,Success,7.506828308,20,sqrt,2,5,100
datasets/BPI_Challenge_2017.xes,prefix,600,OHE,0.4,0.3,110,21,Success,5.280867577,20,sqrt,2,2,200
datasets/BPI_Challenge_2017.xes,prefix,600,Bigram,0.35,0.266666667,110,21,Success,4.302221298,10,log2,2,2,200
datasets/BPI_Challenge_2017.xes,prefix,600,W2V,0.75,0.718571429,110,21,Success,4.200141907,10,sqrt,1,5,200
datasets/BPI_Challenge_2017.xes,prefix,600,D2V,0.333333333,0.293650794,110,21,Success,4.788352489,10,sqrt,2,5,100
datasets/BPI_Challenge_2017.xes,prefix,600,BERT,0.65,0.5975,110,21,Success,5.433870554,10,sqrt,2,2,200
datasets/BPI_Challenge_2017.xes,prefix,600,ACF,0.15,0.115,110,21,Success,8.083117723,10,sqrt,1,5,200
datasets/BPI_Challenge_2017.xes,prefix,800,OHE,0.3,0.187301587,106,21,Success,5.551588774,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,prefix,800,Bigram,0.4,0.255433455,106,21,Success,4.369760752,20,log2,1,5,100
